,N,NMISS,SUM,MEAN,MEDIAN,STD,VAR,MIN,P1,P5,P10,P25,P50,P75,P90,P95,P99,MAX
S. Hab Zone Min (AU),3760.0,115.0,3657.0309999999995,0.9726146276595743,0.716,1.4037101742942715,1.9704022534172538,0.001,0.04736000000000001,0.16495,0.266,0.49375,0.716,1.00225,1.415,2.1242999999999985,7.61539999999998,20.201
P. HZD,3829.0,46.0,458846.74,119.8346147819274,-2.19,2327.736372953277,5418356.621969678,-2.53,-2.47,-2.44,-2.41,-2.34,-2.19,-1.73,0.37400000000000544,7.023999999999991,492.14919999999955,82422.85
P. HZC,3834.0,41.0,14272.8,3.722691705790297,2.44,5.1375413303803175,26.394330921365967,-2.48,-0.5301000000000001,-0.17,-0.17,-0.15,2.44,6.7,10.547000000000002,13.093499999999999,21.68850000000004,46.94
P. HZA,3790.0,85.0,16764.31,4.423300791556729,-0.1,25.050047636047513,627.5048865682495,-1.56,-1.35,-1.13,-1.0,-0.73,-0.1,1.3175000000000001,7.931999999999998,17.075499999999998,109.93430000000015,550.24
P. HZI,3790.0,85.0,820.53,0.21649868073878628,0.23,0.10893015756716451,0.011865779227607289,0.0,0.0,0.04,0.06,0.11,0.23,0.3,0.32,0.35,0.47,0.83
P. ESI,3827.0,48.0,1010.14,0.26395087535928924,0.27,0.13551229274782767,0.018363581485772947,0.03,0.05,0.06,0.07,0.19,0.27,0.31,0.42,0.51,0.73,0.9
S. HabCat,3875.0,0.0,257.0,0.06632258064516129,0.0,0.24887723967248745,0.06193988042699676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
P. Habitable,3875.0,0.0,55.0,0.014193548387096775,0.0,0.11830343767488911,0.013995703365696372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
P. Hab Moon,3875.0,0.0,40.0,0.01032258064516129,0.0,0.10108739806751867,0.010218662048060977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
P. Confirmed,3875.0,0.0,3853.0,0.9943225806451613,1.0,0.07514415122031105,0.005646643462620975,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
